Name,Year,Certificate,Runtime,Genres,Director,Stars,Ratings,Metascore,Votes
Robin Hood,2010,PG-13,140 min,"Action, Adventure, Drama",Ridley Scott,"Russell Crowe,Cate Blanchett,Matthew Macfadyen,Max von Sydow",6.6,53,270768
The Patriot,2000,R,165 min,"Action, Drama, History",Roland Emmerich,"Mel Gibson,Heath Ledger,Joely Richardson,Jason Isaacs",7.2,63,276324
Pearl Harbor,2001,PG-13,183 min,"Action, Drama, History",Michael Bay,"Ben Affleck,Kate Beckinsale,Josh Hartnett,William Lee Scott",6.2,44,333867
Benedetta,2021,Unrated,131 min,"Biography, Drama, History",Paul Verhoeven,"Virginie Efira,Charlotte Rampling,Daphne Patakia,Lambert Wilson",6.8,73,19530
Apollo 13,I 1995,PG,140 min,"Adventure, Drama, History",Ron Howard,"Tom Hanks,Bill Paxton,Kevin Bacon,Gary Sinise",7.7,77,296196
The Legend of Maula Jatt,2022,,153 min,"Action, Drama, Fantasy",Bilal Lashari,"Fawad Khan,Hamza Ali Abbasi,Mahira Khan,Humaima Malik",8.9,,8582
The Impossible,2012,PG-13,114 min,"Adventure, Drama, History",J.A. Bayona,"Naomi Watts,Ewan McGregor,Tom Holland,Oaklee Pendergast",7.5,73,224934
The Longest Day,1962,G,178 min,"Action, Drama, History",Ken Annakin,"Andrew Marton,Gerd Oswald,Bernhard Wicki,Darryl F. Zanuck,John Wayne,Robert Ryan,Richard Burton,Henry Fonda",7.7,75,56389
Judas and the Black Messiah,2021,R,126 min,"Biography, Drama, History",Shaka King,"LaKeith Stanfield,Daniel Kaluuya,Jesse Plemons,Dominique Fishback",7.4,85,80220
Greyhound,2020,PG-13,91 min,"Action, Drama, History",Aaron Schneider,"Tom Hanks,Elisabeth Shue,Stephen Graham,Matt Helm",7,64,97792
Outlaw King,2018,R,121 min,"Action, Biography, Drama",David Mackenzie,"Chris Pine,Stephen Dillane,Rebecca Robin,Billy Howle",6.9,59,72905
Empire of the Sun,1987,PG,153 min,"Drama, History, War",Steven Spielberg,"Christian Bale,John Malkovich,Miranda Richardson,Nigel Havers",7.7,62,126630
